"organ","stat","year","latitude","city_code","home_number","ud","hard_code","month","street","dat_sover","objectid","time_period","reg_code","crime_code","longitude"
"РУВД Турксибского района","ст.188 ч.1","2016","43.329817321999997","г. Алматы","263А","167519030000537","2","1","СУЮНБАЯ","11.01.2016","857405","2","Турксибский р-н","1880","76.960953810999996"
"РУВД Алатауского района","ст.188 ч.1","2016","43.332442012999998","г. Алматы","2Б","167512030000902","2","1","СЕВЕРНОЕ КОЛЬЦО","12.01.2016","2382135","1","Алатауский р-н","1880","76.912582415000003"
"РУВД Алатауского района","ст.188 ч.2","2016","43.257899256000002","г. Алматы","8","167512030000881","2","1","АКСАЙСКАЯ","12.01.2016","1995567","1","Алатауский р-н","1880","76.848033349999994"
"РУВД Алатауского района","ст.188 ч.2","2016","43.249034213999998","г. Алматы","1Б","167512030000877","2","1","АЗТМ МКР.АКБУЛАК","12.01.2016","2522366","1","Алатауский р-н","1880","76.817096456000002"
"РУВД Алатауского района","ст.188 ч.2","2016","43.261254479000002","г. Алматы","","167512030000873","2","1","","12.01.2016","2255153","1","Алатауский р-н","1880","76.859609750000004"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.237872297000003","г. Алматы","172","167511030003787","2","1","АБАЯ УЛ.","12.01.2016","753226","1","Алмалинский р-н","1880","76.877995029000004"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.253382963999996","г. Алматы","125","167511030000885","2","1","ТОЛЕ БИ","12.01.2016","831249","3","Алмалинский р-н","1880","76.919579188"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.254812950000002","г. Алматы","63","167511030001462","2","1","ТОЛЕ БИ","12.01.2016","848821","1","Алмалинский р-н","1880","76.940211813999994"
"РУВД Алмалинского района","ст.188 ч.2","2016","43.259367802","г. Алматы","","167511030000882","2","1","АБАЯ","12.01.2016","877360","3","Алмалинский р-н","1880","76.938906416999998"
"РУВД Алмалинского района","ст.191 ч.2","2016","43.254155390000001","г. Алматы","150","167511030000905","3","1","КАЗЫБЕК БИ","12.01.2016","1971667","3","Алмалинский р-н","1910","76.914136404000004"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.249046653000001","г. Алматы","175","167511030000919","2","1","КАРАСАЙ БАТЫРА","12.01.2016","2125797","3","Алмалинский р-н","1880","76.905825253000003"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.235007463999999","г. Алматы","17","167513030000843","2","1","МКР.АКСАЙ-3","12.01.2016","766142","3","Ауэзовский р-н","1880","76.830222058999993"
"РУВД Ауэзовского района","ст.190 ч.1","2016","43.246664559000003","г. Алматы","279","167513030000848","1","1","ТОЛЕ БИ","12.01.2016","822689","3","Ауэзовский р-н","1900","76.858133249000005"
"РУВД Ауэзовского района","ст.188 ч.2","2016","43.223404283000001","г. Алматы","38","167513030000818","2","1","МКР.3","12.01.2016","873506","1","Ауэзовский р-н","1880","76.853380349000005"
"РУВД Ауэзовского района","ст.190 ч.3","2016","43.229594536","г. Алматы","1А","167513030000781","3","1","МКР.АКСАЙ-5","12.01.2016","891607","1","Ауэзовский р-н","1900","76.832219907999999"
"РУВД Бостандыкского района","ст.188 ч.1","2016","43.195172868999997","г. Алматы","131","167514030000802","2","1","АЛЬ-ФАРАБИ","12.01.2016","886905","2","Бостандыкский р-н","1880","76.889253905000004"
"РУВД Бостандыкского района","ст.188 ч.2","2016","43.234082098000002","г. Алматы","5","167514030000791","2","1","ШУМНЫЙ","12.01.2016","1953480","2","Бостандыкский р-н","1880","76.928924597999995"
"РУВД Бостандыкского района","ст.188 ч.2","2016","43.195978607000001","г. Алматы","7","167514030000774","2","1","МКР.ОРБИТА-4","12.01.2016","2232694","2","Бостандыкский р-н","1880","76.879545522000001"
"РУВД Жетысуского района","ст.188 ч.1","2016","43.302263384","г. Алматы","7","167515030000805","2","1","МКР.КУЛАГЕР","12.01.2016","804041","1","Жетысуский р-н","1880","76.922085839000005"
"РУВД Жетысуского района","ст.188 ч.2","2016","43.336825087999998","г. Алматы","20","167515030000787","2","1","ЕРМОЛОВОЙ","12.01.2016","845886","1","Жетысуский р-н","1880","76.925534016"
"РУВД Жетысуского района","ст.190 ч.2","2016","43.293868975999999","г. Алматы","8","167515030000821","2","1","СЕВЕРНОЕ КОЛЬЦО","12.01.2016","876295","1","Жетысуский р-н","1900","76.893476046999993"
"РУВД Жетысуского района","ст.188 ч.1","2016","43.317743055999998","г. Алматы","91","167515030001517","2","1","ЖУМАБАЕВА","12.01.2016","2030382","1","Жетысуский р-н","1880","76.928589678999998"
"РУВД Медеуского района","ст.191 ч.2","2016","43.185030836999999","г. Алматы","44","167517030000548","3","1","САД.ТОВ.АВРОРА","12.01.2016","891943","1","Медеуский р-н","1910","76.960566579000002"
"РУВД Турксибского района","ст.188 ч.1","2016","43.322525309","г. Алматы","","167519030000551","2","1","","12.01.2016","856978","3","Турксибский р-н","1880","76.949551669000002"
"РУВД Алатауского района","ст.190 ч.2","2016","43.261119350999998","г. Алматы","ТП","167512030001005","2","1","КУДЕРИНА","13.01.2016","835199","3","Алатауский р-н","1900","76.886475446999995"
"РУВД Алатауского района","ст.188 ч.1","2016","43.276417760000001","г. Алматы","55","167512030000990","2","1","АЛМЕРЕКА АБЫЗА МКР.АЙГЕРИМ-2","13.01.2016","2236399","1","Алатауский р-н","1880","76.833225533999993"
"РУВД Алмалинского района","ст.190 ч.2","2016","44.052987655999999","г. Алматы","","167511030000999","2","1","","13.01.2016","2328636","3","Алмалинский р-н","1900","76.651196939000002"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.258554682000003","г. Алматы","84Б","167511030000966","2","1","ГОГОЛЯ","13.01.2016","790033","2","Алмалинский р-н","1880","76.937054357999997"
"РУВД Алмалинского района","ст.190 ч.1","2016","43.267776320000003","г. Алматы","404","167511030000997","1","1","СЕЙФУЛЛИНА","13.01.2016","828838","3","Алмалинский р-н","1900","76.931990954"
"РУВД Алмалинского района","ст.120 ч.1","2016","43.261091295999996","г. Алматы","77","167511030000996","2","1","ФУРМАНОВА","13.01.2016","836811","3","Алмалинский р-н","1200","76.945457261000001"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.246878359999997","г. Алматы","137","167511030000937","2","1","ЖЕЛТОКСАН","13.01.2016","888953","2","Алмалинский р-н","1880","76.940289211999996"
"РУВД Ауэзовского района","ст.190 ч.1","2016","43.229351735000002","г. Алматы","3","167513030000929","1","1","УЙГУРСКАЯ (ДОСТЫК)","13.01.2016","824597","1","Ауэзовский р-н","1900","76.830765560000003"
"РУВД Ауэзовского района","ст.188 ч.2","2016","43.225902687000001","г. Алматы","3","167513030000880","2","1","МКР.3","13.01.2016","873018","1","Ауэзовский р-н","1880","76.848762448000002"
"РУВД Ауэзовского района","ст.190 ч.3","2016","43.254150567000003","г. Алматы","348","167513030000826","3","1","РАЙЫМБЕКА","13.01.2016","891605","2","Ауэзовский р-н","1900","76.863521379999995"
"РУВД Ауэзовского района","ст.191 ч.2","2016","43.222147249000002","г. Алматы","34-35","167513030001232","3","1","МКР.3","13.01.2016","2556136","1","Ауэзовский р-н","1910","76.853392549999995"
"РУВД Бостандыкского района","ст.99 ч.1","2016","43.201625645999997","г. Алматы","39","167514030000898","4","1","КАБЛУКОВА","13.01.2016","2297089","3","Бостандыкский р-н","0990","76.890785907999998"
"РУВД Бостандыкского района","ст.190 ч.3","2016","43.186489315999999","г. Алматы","","167514030000889","3","1","","13.01.2016","2530208","3","Бостандыкский р-н","1900","76.899415563000005"
"РУВД Бостандыкского района","ст.188 ч.2","2016","43.232760601999999","г. Алматы","40","167514030000886","2","1","УЛ. БАЙСЕЙТОВА","13.01.2016","2308874","3","Бостандыкский р-н","1880","76.907287432000004"
"РУВД Жетысуского района","ст.188 ч.3","2016","43.295814448999998","г. Алматы","20","167515030000851","3","1","СЕРИКОВА С.","13.01.2016","865272","2","Жетысуский р-н","1880","76.909593733999998"
"РУВД Медеуского района","ст.188 ч.2","2016","43.227499944000002","г. Алматы","16А","167517030000611","2","1","ЕЛЕБЕКОВА","13.01.2016","2091599","1","Медеуский р-н","1880","76.963669284000005"
"РУВД Медеуского района","ст.188 ч.1","2016","43.221415784000001","г. Алматы","","167517030000626","2","1","ШАШКИНА","13.01.2016","2582791","1","Медеуский р-н","1880","76.934962744000003"
"РУВД Турксибского района","ст.188 ч.2","2016","43.308280891999999","г. Алматы","152А","167519030000578","2","1","КАССИНА","13.01.2016","872440","2","Турксибский р-н","1880","76.936892442000001"
"РУВД Алатауского района","ст.188 ч.4","2016","43.251079400000002","г. Алматы","129","167512030001035","3","1","ЧУЛАНОВА МКР.АКБУЛАК","14.01.2016","2117898","1","Алатауский р-н","1880","76.825500364999996"
"РУВД Алатауского района","ст.192 ч.2","2016","43.264447406000002","г. Алматы","34","167512030001079","3","1","МАЙКОПСКАЯ","14.01.2016","1959984","3","Алатауский р-н","1920","76.839202119000007"
"РУВД Алатауского района","ст.188 ч.1","2016","43.258290266000003","г. Алматы","293","167512030001043","2","1","РАЙЫМБЕКА","14.01.2016","2224305","1","Алатауский р-н","1880","76.879823844000001"
"РУВД Алатауского района","ст.107 ч.1","2016","43.281889292000002","г. Алматы","","167512030001065","1","1","ЖАНКОЖА БАТЫРА (ШАНЫРАК-2)","14.01.2016","2255141","1","Алатауский р-н","1070","76.861862845999994"
"РУВД Алатауского района","ст.188 ч.2","2016","43.243812648999999","г. Алматы","","167512030001097","2","1","","14.01.2016","2255158","1","Алатауский р-н","1880","76.786914081000006"
"РУВД Алмалинского района","ст.190 ч.1","2016","43.258748251","г. Алматы","77","167511030001089","1","1","ЖЕЛТОКСАН","14.01.2016","827912","3","Алмалинский р-н","1900","76.938512841000005"
"РУВД Алмалинского района","ст.190 ч.3","2016","43.264700202999997","г. Алматы","14","167511030001088","3","1","БАЙЗАКОВА","14.01.2016","819486","3","Алмалинский р-н","1900","76.910935506000001"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.250473304000003","г. Алматы","71","167511030001048","2","1","ДОСМУХАМЕДОВА","14.01.2016","1983727","2","Алмалинский р-н","1880","76.923548245999996"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.269949703000002","г. Алматы","","167511030001071","2","1","РАЙЫМБЕКА","14.01.2016","1983749","3","Алмалинский р-н","1880","76.939792984999997"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.256537223999999","г. Алматы","27","167511030001081","2","1","БАЙТУРСЫНУЛЫ","14.01.2016","1983820","3","Алмалинский р-н","1880","76.924732294999998"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.241450704000002","г. Алматы","","167513030000968","2","1","АБАЯ","14.01.2016","831727","3","Ауэзовский р-н","1880","76.839223785000001"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.236879641999998","г. Алматы","29","167513030000949","2","1","МКР.АКСАЙ-2","14.01.2016","2509806","1","Ауэзовский р-н","1880","76.831348461999994"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.23159038","г. Алматы","220","167513030000980","2","1","АБАЯ","14.01.2016","2483921","3","Ауэзовский р-н","1880","76.869390113999998"
"РУВД Бостандыкского района","ст.188 ч.1","2016","43.198006083999999","г. Алматы","310А","167514030000949","2","1","НАВОИ","14.01.2016","849693","2","Бостандыкский р-н","1880","76.887722276000005"
"РУВД Бостандыкского района","ст.188 ч.1","2016","43.217459478999999","г. Алматы","42/4","167514030000928","2","1","ТИМИРЯЗЕВА","14.01.2016","881005","1","Бостандыкский р-н","1880","76.908704623999995"
"РУВД Бостандыкского района","ст.188 ч.2","2016","43.164652359000002","г. Алматы","17","167514030000976","2","1","САД.ТОВ.ЭНЕРГИЯ-2","14.01.2016","2240612","3","Бостандыкский р-н","1880","76.893448208999999"
"РУВД Жетысуского района","ст.188 ч.2","2016","43.290491914","г. Алматы","11","167515030000950","2","1","АКБУЛАКСКАЯ","14.01.2016","2378967","1","Жетысуский р-н","1880","76.897505495000004"
"РУВД Жетысуского района","ст.187 ч.1","2016","43.287723198999998","г. Алматы","33","167515030000932","1","1","ШЕМЯКИНА","14.01.2016","882466","3","Жетысуский р-н","1870","76.962333182999998"
"РУВД Медеуского района","ст.107 ч.1","2016","43.242019003999999","г. Алматы","2","167517030000705","1","1","ЛУГАНСКОГО","14.01.2016","857597","1","Медеуский р-н","1070","76.960285389000006"
"РУВД Медеуского района","ст.188 ч.2","2016","43.255163303000003","г. Алматы","27","167517030000629","2","1","БОГЕНБАЙ БАТЫРА","14.01.2016","892184","2","Медеуский р-н","1880","76.969062661999999"
"РУВД Медеуского района","ст.188 ч.1","2016","43.264737097000001","г. Алматы","28","167517030000710","2","1","МАКАТАЕВА","14.01.2016","2155320","1","Медеуский р-н","1880","76.960528706000005"
"РУВД Турксибского района","ст.188 ч.2","2016","43.324785302999999","г. Алматы","55","167519030000651","2","1","КОММУНАРОВ","14.01.2016","872208","1","Турксибский р-н","1880","76.969272387000004"
"РУВД Алатауского района","ст.188 ч.1","2016","43.332442012999998","г. Алматы","2Б","167512030001154","2","1","СЕВЕРНОЕ КОЛЬЦО","15.01.2016","2382258","1","Алатауский р-н","1880","76.912582415000003"
"РУВД Алатауского района","ст.188 ч.2","2016","43.254703671000001","г. Алматы","70","167512030001123","2","1","ЕСПАЕВА (АКБУЛАК)","15.01.2016","2222821","1","Алатауский р-н","1880","76.828508782"
"РУВД Алмалинского района","ст.190 ч.2","2016","43.249560283999998","г. Алматы","17","167511030001093","2","1","АУЭЗОВА","15.01.2016","803755","1","Алмалинский р-н","1900","76.902311046999998"
"РУВД Алмалинского района","ст.188 ч.2","2016","43.268332893999997","г. Алматы","28","167511030001193","2","1","АБЫЛАЙ ХАНА","15.01.2016","849462","1","Алмалинский р-н","1880","76.940823311000003"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.261952534000002","г. Алматы","2","167511030001188","2","1","БАЙТУРСЫНУЛЫ","15.01.2016","875357","1","Алмалинский р-н","1880","76.924891505999994"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.268843658000002","г. Алматы","467","167511030001113","2","1","СЕЙФУЛЛИНА","15.01.2016","1984173","1","Алмалинский р-н","1880","76.929481707999997"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.23159038","г. Алматы","220","167513030000986","2","1","АБАЯ","15.01.2016","692690","1","Ауэзовский р-н","1880","76.869390113999998"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.231167294999999","г. Алматы","44А","167513030000998","2","1","КУАНЫШБАЕВА","15.01.2016","840623","2","Ауэзовский р-н","1880","76.860016509000005"
"РУВД Ауэзовского района","ст.188 ч.2","2016","43.241169114000002","г. Алматы","7","167513030000997","2","1","МКР.АКСАЙ-1","15.01.2016","1946097","1","Ауэзовский р-н","1880","76.834718383999999"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.232808974999998","г. Алматы","4А","167513030001042","2","1","МКР.АКСАЙ-4","15.01.2016","2240570","1","Ауэзовский р-н","1880","76.841008157000005"
"РУВД Бостандыкского района","ст.188 ч.1","2016","43.204838999000003","г. Алматы","28","167514030001036","2","1","МКР.АЛМАГУЛЬ","15.01.2016","874663","2","Бостандыкский р-н","1880","76.900883996000005"
"РУВД Бостандыкского района","ст.293 ч.1","2016","43.206892171","г. Алматы","133В","167514030000967","1","1","КАБЛУКОВА","15.01.2016","2041648","3","Бостандыкский р-н","2930","76.888633768999995"
"РУВД Бостандыкского района","ст.188 ч.2","2016","43.141675051999997","г. Алматы","214/2","167514030000992","2","1","МКР.ХАН-ТЕНГРИ","15.01.2016","2200745","1","Бостандыкский р-н","1880","76.903201424000002"
"РУВД Жетысуского района","ст.188 ч.1","2016","43.317680306","г. Алматы","87","167515030000999","2","1","ЖУМАБАЕВА","15.01.2016","814518","1","Жетысуский р-н","1880","76.929046444999997"
"РУВД Жетысуского района","ст.188 ч.1","2016","43.273465539","г. Алматы","15","167515030001003","2","1","СУЮНБАЯ","15.01.2016","816746","1","Жетысуский р-н","1880","76.950399946000005"
"РУВД Жетысуского района","ст.188 ч.2","2016","43.324700077000003","г. Алматы","104А","167515030000982","2","1","МКР.АЙНАБУЛАК-3","15.01.2016","843581","1","Жетысуский р-н","1880","76.920108819000006"
"РУВД Жетысуского района","ст.188 ч.1","2016","43.291432436999997","г. Алматы","191/14","167515030001094","2","1","ДЖАНГИЛЬДИНА","15.01.2016","861824","1","Жетысуский р-н","1880","76.954550925999996"
"РУВД Жетысуского района","ст.191 ч.2","2016","43.269217982000001","г. Алматы","213","167515030000956","3","1","РАЙЫМБЕКА","15.01.2016","869991","1","Жетысуский р-н","1910","76.923558314000005"
"РУВД Медеуского района","ст.190 ч.1","2016","43.262152831999998","г. Алматы","38","167517030000784","1","1","ПУШКИНА","15.01.2016","2143544","1","Медеуский р-н","1900","76.953299165000004"
"РУВД Медеуского района","ст.188 ч.1","2016","43.261254563999998","г. Алматы","15","167517030000769","2","1","ГОГОЛЯ","15.01.2016","2003624","1","Медеуский р-н","1880","76.959532236000001"
"РУВД Турксибского района","ст.107 ч.1","2016","43.314366368999998","г. Алматы","104","167519030000687","1","1","СЕЙФУЛЛИНА","15.01.2016","859314","3","Турксибский р-н","1070","76.939889922999996"
"РУВД Турксибского района","ст.191 ч.1","2016","43.338084524999999","г. Алматы","2","167519030000709","2","1","ТЫНЫШБАЕВА","15.01.2016","1968828","1","Турксибский р-н","1910","76.949428522999995"
"РУВД Алатауского района","ст.106 ч.3","2016","43.288356944999997","г. Алматы","45","167512030001204","3","1","БИЯНХУ (ЗАРЯ ВОСТОКА)","16.01.2016","2024965","1","Алатауский р-н","1060","76.887551858999998"
"РУВД Алатауского района","ст.188 ч.2","2016","43.327672192999998","г. Алматы","29","167512030001171","2","1","КОЖАБЕРГЕН ЖИРАУ МКР.ОЖЕТ","16.01.2016","1995904","1","Алатауский р-н","1880","76.896787236999998"
"РУВД Алатауского района","ст.107 ч.1","2016","43.256613874999999","г. Алматы","","167512030001161","1","1","РАЙЫМБЕКА","16.01.2016","2255134","1","Алатауский р-н","1070","76.795252512000005"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.245647021000003","г. Алматы","125","167511030001190","2","1","АНОСОВА","16.01.2016","2403852","1","Алмалинский р-н","1880","76.885589499000005"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.265624774000003","г. Алматы","481","167511030001259","2","1","СЕЙФУЛЛИНА","16.01.2016","882208","3","Алмалинский р-н","1880","76.930617968999996"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.242889562999999","г. Алматы","534/92","167511030001247","2","1","СЕЙФУЛЛИНА","16.01.2016","875359","3","Алмалинский р-н","1880","76.934706840000004"
"РУВД Алмалинского района","ст.188 ч.2","2016","43.239012113999998","г. Алматы","","167511030001238","2","1","АБАЯ","16.01.2016","902644","3","Алмалинский р-н","1880","76.899418733999994"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.246664559000003","г. Алматы","279","167513030001085","2","1","ТОЛЕ БИ","16.01.2016","819499","1","Ауэзовский р-н","1880","76.858133249000005"
"РУВД Бостандыкского района","ст.188 ч.1","2016","43.210626660999999","г. Алматы","154","167514030001139","2","1","НАВОИ","16.01.2016","2252161","3","Бостандыкский р-н","1880","76.883213002999995"
"РУВД Жетысуского района","ст.190 ч.1","2016","43.278222751999998","г. Алматы","3","167515030001063","1","1","СЕВЕРНОЕ КОЛЬЦО","16.01.2016","824131","2","Жетысуский р-н","1900","76.888524117000003"
"РУВД Жетысуского района","ст.190 ч.3","2016","43.327441538000002","г. Алматы","157","167515030001026","3","1","МКР.АЙНАБУЛАК-3","16.01.2016","872105","1","Жетысуский р-н","1900","76.920450449000001"
"РУВД Жетысуского района","ст.188 ч.2","2016","43.329085525000004","г. Алматы","156","167515030001059","2","1","МКР.АЙНАБУЛАК-3","16.01.2016","1958162","1","Жетысуский р-н","1880","76.920774606999998"
"РУВД Медеуского района","ст.188 ч.4","2016","43.225933412000003","г. Алматы","37","167517030000815","3","1","ХАДЖИ-МУКАНА","16.01.2016","2091653","1","Медеуский р-н","1880","76.957767516999994"
"РУВД Медеуского района","ст.190 ч.3","2016","43.244885687","г. Алматы","20","167517030000852","3","1","КУРМАНГАЗЫ","16.01.2016","2459468","1","Медеуский р-н","1900","76.953994182000002"
"РУВД Медеуского района","ст.188 ч.1","2016","43.270386891000001","г. Алматы","2","167517030000820","2","1","ПУШКИНА","16.01.2016","2157600","1","Медеуский р-н","1880","76.952727917000004"
"РУВД Турксибского района","ст.188 ч.1","2016","43.322909107999998","г. Алматы","","167519030000739","2","1","МАЙЛИНА","16.01.2016","856986","3","Турксибский р-н","1880","76.973395138000001"
"РУВД Турксибского района","ст.188 ч.1","2016","43.305114981999999","г. Алматы","107","167519030000750","2","1","ЖАРЫЛГАСОВА","16.01.2016","2507569","1","Турксибский р-н","1880","76.932192325000003"
"РУВД Алатауского района","ст.188 ч.2","2016","43.285583207000002","г. Алматы","6","167512030001281","2","1","АШЕКЕЕВА (ШАНЫРАК-1)","17.01.2016","1996236","1","Алатауский р-н","1880","76.861503691999999"
"РУВД Алатауского района","ст.190 ч.3","2016","43.245254471999999","г. Алматы","","167512030001283","3","1","","17.01.2016","2278363","1","Алатауский р-н","1900","76.812847953000002"
"РУВД Алмалинского района","ст.188 ч.2","2016","43.245665443","г. Алматы","84","167511030001309","2","1","МАСАНЧИ","17.01.2016","824967","3","Алмалинский р-н","1880","76.931154090999996"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.254842015999998","г. Алматы","42","167511030001307","2","1","ДОСМУХАМЕДОВА","17.01.2016","889937","3","Алмалинский р-н","1880","76.924058697999996"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.234585899000002","г. Алматы","6А","167513030001162","2","1","МКР.2","17.01.2016","795938","1","Ауэзовский р-н","1880","76.854933931999994"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.249815181999999","г. Алматы","18А","167513030001115","2","1","МКР.ТАСТАК-1","17.01.2016","860753","1","Ауэзовский р-н","1880","76.856590123000004"
"РУВД Ауэзовского района","ст.188 ч.2","2016","43.233012678000001","г. Алматы","27","167513030001142","2","1","МКР.АКСАЙ-3","17.01.2016","2509303","1","Ауэзовский р-н","1880","76.830949313999994"
"РУВД Бостандыкского района","ст.188 ч.1","2016","43.225276555000001","г. Алматы","42","167514030001162","2","1","ТИМИРЯЗЕВА","17.01.2016","873021","3","Бостандыкский р-н","1880","76.904893688000001"
"РУВД Бостандыкского района","ст.190 ч.1","2016","43.22713778","г. Алматы","","167514030001169","1","1","","17.01.2016","2530747","3","Бостандыкский р-н","1900","76.920489222"
"РУВД Жетысуского района","ст.188 ч.1","2016","43.303251557000003","г. Алматы","4","167515030001132","2","1","МКР.КУЛАГЕР","17.01.2016","861386","1","Жетысуский р-н","1880","76.922329469000005"
"РУВД Медеуского района","ст.188 ч.4","2016","43.250639771000003","г. Алматы","41А","167517030000863","3","1","КАСТЕЕВА","17.01.2016","2376215","1","Медеуский р-н","1880","76.968227634000002"
"РУВД Медеуского района","ст.188 ч.1","2016","43.243896348","г. Алматы","162","167517030000888","2","1","КУНАЕВА","17.01.2016","2093739","1","Медеуский р-н","1880","76.952154836999995"
"РУВД Медеуского района","ст.188 ч.1","2016","43.222115064","г. Алматы","111","167517030000891","2","1","ДОСТЫК","17.01.2016","2156294","1","Медеуский р-н","1880","76.961518268000006"
"РУВД Турксибского района","ст.188 ч.2","2016","43.322228803000002","г. Алматы","24","167519030000796","2","1","БЕХТЕРЕВА","17.01.2016","886322","3","Турксибский р-н","1880","76.942769091000002"
"РУВД Алатауского района","ст.188 ч.1","2016","43.279385419","г. Алматы","2","167512030001300","2","1","ЫНТЫМАК (АЙГЕРИМ-2)","18.01.2016","2169015","1","Алатауский р-н","1880","76.841229526999996"
"РУВД Алатауского района","ст.293 ч.1","2016","43.299312860000001","г. Алматы","","167512030001310","1","1","ШОССЕЙНАЯ (ЗАРЯ ВОСТОКА)","18.01.2016","2278212","1","Алатауский р-н","2930","76.890081696999999"
"РУВД Алатауского района","ст.188 ч.1","2016","43.286347083999999","г. Алматы","","167512030001570","2","1","ЖАНКОЖА БАТЫРА (ШАНЫРАК-2)","18.01.2016","2255165","1","Алатауский р-н","1880","76.850709404"
"РУВД Алмалинского района","ст.190 ч.1","2016","43.250725244000002","г. Алматы","239","167511030001388","1","1","БОГЕНБАЙ БАТЫРА","18.01.2016","881516","3","Алмалинский р-н","1900","76.907446700999998"
"РУВД Алмалинского района","ст.190 ч.3","2016","43.260181179","г. Алматы","14","167511030001398","3","1","ДЖУМАЛИЕВА","18.01.2016","2416209","3","Алмалинский р-н","1900","76.912552348000006"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.246686893000003","г. Алматы","76","167511030001392","2","1","МАСАНЧИ","18.01.2016","1984697","3","Алмалинский р-н","1880","76.930852267000006"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.257259615999999","г. Алматы","24","167511030001389","2","1","БАЙТУРСЫНУЛЫ","18.01.2016","1984706","3","Алмалинский р-н","1880","76.925690043000003"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.249025099000001","г. Алматы","113","167513030001322","2","1","ТОЛЕ БИ","18.01.2016","842687","1","Ауэзовский р-н","1880","76.860052218000007"
"РУВД Ауэзовского района","ст.190 ч.1","2016","43.23159038","г. Алматы","220","167513030001238","1","1","АБАЯ","18.01.2016","2028904","3","Ауэзовский р-н","1900","76.869390113999998"
"РУВД Ауэзовского района","ст.188 ч.3","2016","43.232441672","г. Алматы","10","167513030001216","3","1","МКР.АКСАЙ-4","18.01.2016","2240389","1","Ауэзовский р-н","1880","76.83843152"
"РУВД Бостандыкского района","ст.190 ч.1","2016","43.239408042000001","г. Алматы","60","167514030001225","1","1","АБАЯ","18.01.2016","878216","3","Бостандыкский р-н","1900","76.907895335999996"
"РУВД Бостандыкского района","ст.188 ч.2","2016","43.190191689000002","г. Алматы","2","167514030001268","2","1","МКР.КАЗАХФИЛЬМ","18.01.2016","2240618","3","Бостандыкский р-н","1880","76.902882774999995"
"РУВД Жетысуского района","ст.188 ч.1","2016","43.322846298000002","г. Алматы","172","167515030001209","2","1","МКР.АЙНАБУЛАК-4","18.01.2016","827040","1","Жетысуский р-н","1880","76.914883497000005"
"РУВД Жетысуского района","ст.188 ч.1","2016","43.303765055","г. Алматы","12","167515030001693","2","1","МКР.ДОРОЖНИК","18.01.2016","862278","1","Жетысуский р-н","1880","76.908590631999999"
"РУВД Жетысуского района","ст.187 ч.1","2016","43.303886697999999","г. Алматы","14","167515030001206","1","1","МКР.КУЛАГЕР","18.01.2016","876989","1","Жетысуский р-н","1870","76.923022152000001"
"РУВД Жетысуского района","ст.190 ч.3","2016","43.277966227","г. Алматы","7","167515030001207","3","1","АХТАНОВА","18.01.2016","900582","1","Жетысуский р-н","1900","76.942800735000006"
"РУВД Медеуского района","ст.188 ч.1","2016","43.262789908999999","г. Алматы","32","167517030000956","2","1","ЖИБЕК ЖОЛЫ","18.01.2016","863105","1","Медеуский р-н","1880","76.960147676999995"
"РУВД Медеуского района","ст.188 ч.1","2016","43.257741670000001","г. Алматы","50","167517030001155","2","1","КАЛДАЯКОВА","18.01.2016","2093744","1","Медеуский р-н","1880","76.958630486999994"
"РУВД Медеуского района","ст.190 ч.1","2016","43.209346035000003","г. Алматы","30","167517030000953","1","1","КАЙСЕНОВА","18.01.2016","2149673","1","Медеуский р-н","1900","76.984915391000001"
"РУВД Турксибского района","ст.188 ч.2","2016","43.298427805000003","г. Алматы","231","167519030000843","2","1","СЕЙФУЛЛИНА","18.01.2016","889899","1","Турксибский р-н","1880","76.939728513999995"
"РУВД Турксибского района","ст.190 ч.1","2016","43.337797807999998","г. Алматы","","167519030000822","1","1","","18.01.2016","2282668","3","Турксибский р-н","1900","76.966651997"
